Num,Mono Heat of formation [eV/atom] ,Mono Band gap [eV] ,Energy [eV] ,Magnetic  monolayer,Number of atoms ,Number of species ,Spin axis ,Unit cell area [Å2] ,angle_with_x (degrees),z_separation,lattice_a,lattice_b,lattice_c,lattice_beta,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,Bilayer Energy (eV),Bandgap PBE,Bandgap GW
57,-0.372,2.091,-6.813,0,4,2,3,15.222,11.58388883,0.308675188,4.190949696,4.191164316,30.16486758,90.00149142,119.9484765,459.096979,2.155,8,332,769.25388,2.782366642,6.63936756,2.0169,4.1537
58,-0.556,1.675,-15.905,0,4,2,3,13.271,63.43494882,0.293785503,3.916847722,3.916847722,31.31179081,90,120,416.0178005,2.18,8,260,587.532,2.34513965,-30.96025125,1.4962,2.8277
59,-1.666,3.537,-9.967,0,3,2,3,17.919,0,0.265005173,4.540730336,4.540730336,28.17456471,90,120,503.0825671,2.106666667,6,252,587.77388,1.940082113,-29.65287424,3.8819,6.6567
60,-0.314,0,-27.654,1,4,2,3,12.914,0,0.153942389,3.574824595,3.574824595,42.61730472,90,90,544.6223431,2.05,8,236,535.59218,1.633006339,-58.20781987,0,0
61,-0.417,0,-26.409,1,4,2,3,14.879,0,0.119472194,3.835214502,3.835214467,23.46282137,90,90,345.1115926,2.675,8,144,298.7712,1.437567616,-48.34512015,0,0
62,-0.6,2.136,-5.683,0,3,2,3,16.195,136.974934,0.255799584,4.323716685,4.323716685,27.89055832,90,120,451.5463097,2.336666667,6,308,732.43988,2.693511183,379.9153083,2.277,4.3536
64,-0.063,0,-14.826,0,3,2,3,11.303,26.56505118,0.232676428,3.642010986,3.642010986,26.5536974,90,120,305.0268968,2.026666667,6,262,628.26639,3.420225875,-29.08968665,0,0
65,-0.22,0,-13.027,1,3,2,2,17.611,135.0000001,0.224951154,4.202907678,4.185831175,28.35110178,90,90,498.7713505,2.326666667,6,260,611.61008,2.036208436,-26.42636788,0,0
67,-0.674,0.351,-14.635,1,3,2,3,9.804,26.56505118,0.232842859,3.303216686,3.303216686,28.01149167,90,120,264.6921098,2.716666667,6,120,253.502,1.590338204,-26.58799554,0.1324,
68,-0.692,2.557,-13.293,0,4,2,3,13.327,135.0909127,0.24269966,3.923883446,3.92418392,27.95969152,90.00009081,119.9969118,372.8567191,2.115,8,184,389.896,1.736424494,-6.21056893,2.61,
69,-0.116,0.065,-12.347,1,3,2,3,18.256,135,0.22072445,4.196777197,4.154880131,29.25618595,90,90,510.1432211,2.383333333,6,264,619.30788,2.015874928,-23.50039287,0,0
70,-0.344,0,-6.892,0,3,2,3,14.897,0,0.265126509,4.139454934,4.139454934,28.22958408,90,120,418.9106762,2.376666667,6,274,647.06388,2.56492592,-13.86707461,0,0
71,-0.61,1.621,-11.776,0,4,2,3,14.384,135.0177139,0.273228776,4.076968224,4.077580185,28.24352034,89.99988976,119.9963944,406.6352969,2.1,8,256,577.476,2.358185493,-3.10999227,1.8327,4.1568
72,-0.36,1.954,-8.553,0,3,2,3,16.016,0,0.270558643,4.304794492,4.304794492,27.92248633,90,120,448.1150864,2.443333333,6,276,652.89788,2.419383924,-17.16641776,2.2073,3.3938
73,-1.496,3.006,-19.252,0,3,2,3,9.071,135.0000001,0.161494227,3.008490084,3.023161482,25.54483232,90,90,232.3341159,2.963333333,6,96,209.2776,1.495749469,-37.4780752,2.7714,5.7701
74,-1.57,3.641,-19.474,0,3,2,3,7.302,0,0.213367811,2.910533249,2.910533249,24.80213447,90,120,181.9553457,2.963333333,6,96,209.2776,1.909884149,-37.71450642,3.3853,6.1383
76,-0.378,0.545,-10.292,0,4,2,3,16.237,135.0180343,0.256903014,4.329259714,4.330436635,28.61433242,90.00720299,119.9909242,464.6214815,1.875,8,328,772.036,2.759226574,0.21819685,0.9017,3.1732
77,-0.378,0.545,-10.292,0,4,2,3,16.237,134.9645492,0.254724743,4.329334432,4.330564549,28.61310608,90.00013066,119.9913157,464.6214815,1.875,8,328,772.036,2.759226574,0.22266203,0.9203,3.2024
78,-1.532,4.588,-9.384,0,3,2,3,13.061,0,0.270045472,3.886603197,3.886603197,26.9854238,90,120,353.0207895,2.41,6,164,368.226,1.73206133,-46.61987451,4.5923,7.2902
79,-0.592,0,-50.957,1,9,3,3,11.871,45.0005505,0.253657936,3.628396656,3.628476534,62.81550328,90.00091029,120.0039301,716.1753215,2.18,18,384,819.29418,1.899632607,-101.9719149,0,0
80,-0.12,0,-43.721,0,9,3,3,31.917,175.2645805,0.155042132,6.082848613,6.038841448,42.37744144,89.87316046,119.819153,1350.558684,2.327777778,18,512,1148.268648,1.411819399,-83.58596596,0,0
84,-0.469,0,-18.09,1,3,2,3,10.574,0,0.229948149,3.388945369,3.388945369,28.51628121,90,120,283.6303208,2.216666667,6,186,425.71609,2.492392903,-36.18845721,0,0
85,-0.363,0.47,-23.396,0,5,2,3,14.211,153.4516344,0.291934969,4.053334299,4.052030753,34.77729952,90.03227618,120.0078738,494.6261519,2.356,10,428,1028.3116,3.452206435,-43.79611969,1.064,1.6623
86,-0.2,0,-16.726,1,3,2,3,12.084,0,0.230419246,3.640964211,3.640964211,28.75504315,90,120,330.1242863,1.916666667,6,258,620.27609,3.120014862,-33.15151078,0,0
87,-0.266,0,-11.215,1,3,2,1,15.333,135,0.208358571,3.930960438,3.907569488,27.11322641,90,90,416.4727431,2.61,6,196,437.0028,1.742395472,-20.14744471,0,0
88,-0.174,0,-14.177,0,3,2,3,12.397,0,0.20307273,3.829258167,3.829258167,25.78908759,90,120,327.4883865,2.036666667,6,264,627.7868,3.183210611,-26.00022844,0,0
89,-0.679,0,-50.305,1,7,4,3,7.875,26.56505118,0.214020407,3.029905476,3.029905476,33.32861712,90,120,264.975723,2.418571429,14,148,311.80294,1.953993963,-100.583621,0,0
90,-0.56,1.383,-15.234,0,3,2,3,9.46,109.2660495,0.244752499,3.303131535,3.302762013,26.93593526,90.00883741,120.009929,254.4616689,2.353333333,6,92,184.431,1.203540328,-30.59461974,1.462,2.8069
91,-0.334,0.467,-13.367,0,3,2,3,10.663,38.06890531,0.255705603,3.522644195,3.522667064,26.91433124,90.00863582,120.0026923,289.2296504,2.333333333,6,164,372.011,2.1358073,-26.73128183,0.7805,1.8385
92,-0.127,0,-38.81,1,6,3,3,14.248,44.99843525,0.258709784,3.991185875,3.991179142,32.40313726,89.99976786,120.0054881,446.9890122,1.95,12,428,990.75,3.680580586,-78.6148856,0,0
93,-1.181,2.048,-33.676,0,7,3,3,11.968,45,0.237840558,3.716921173,3.716921173,54.08973257,90,120,647.160747,2.121428571,14,204,413.0561544,1.059853961,-95.33574735,2.0304,3.8776
94,-0.17,0.11,-33.078,1,7,3,3,16.284,153.4349488,0.237534381,4.237568391,4.237568391,60.50306276,90,120,940.895589,1.998571429,14,798,1966.59769,3.470748859,-61.25835877,0,0
95,-0.045,0.313,-30.017,0,7,3,3,38.514,89.96130749,0.221302218,6.195263178,6.20568448,26.95326245,89.99900778,89.59943813,1036.215715,2.06,14,688,1644.1528,2.634760231,-59.99487846,0.6707,2.1906
96,-0.231,0.592,-33.011,0,7,3,3,34.764,45,0.222597493,5.884118283,5.884118284,26.78322529,90.01934979,90.01237487,927.3114101,2.491428571,14,672,1611.426276,2.88558542,-67.33575638,0.9791,2.5816
97,-0.889,0,-31.198,0,7,3,3,11.743,26.56505118,0.224985677,3.68227843,3.68227843,54.13744044,90,120,635.7137406,2.17,14,240,495.2641544,1.293672646,-54.4447592,0,0
98,-0.924,3.272,-7.124,0,3,2,3,15.402,138.5322946,0.234966047,3.924411454,3.92433683,27.37913331,90,90,421.658158,2.523333333,6,200,450.434,1.773861693,-4.329566,3.1675,6.4325
99,-0.555,0,-24.737,0,6,2,3,20.343,89.96949749,0.268410711,3.116268865,6.514044677,27.51988408,89.99912421,89.99997835,558.5964712,2.236666667,12,324,739.6061544,2.198626337,-49.8748375,0,0
101,-1.748,4.504,-20.862,0,6,2,3,23.145,157.0429704,0.152033534,3.663575031,6.313836219,43.94043567,90,90,1016.395374,2.543333333,12,184,380.844,0.622205056,-97.33717945,4.3917,7.6847
102,-1.821,0,-53.826,0,6,2,3,14.729,167.3408675,0.2079089,2.937600256,5.022008048,25.90447679,90,90,382.1594317,3.013333333,12,232,511.7552,2.223651784,-107.3667011,0,0
104,-0.265,0.824,-32.398,0,6,2,3,27.9,90.00000132,0.153745478,5.243205512,5.342106547,23.34670895,90,90,653.9357727,2.356666667,12,240,491.2936,1.247541808,-60.68671638,0.664,2.3286
105,-0.065,0.921,-27.702,0,6,2,3,37.027,134.9999981,0.142578169,6.014854874,6.229229156,23.80748665,90,90,892.0167519,2.036666667,12,528,1255.5736,2.33732047,-51.42403535,0.1578,1.6233
106,-0.27,1.115,-40.2,0,10,3,3,41.301,73.09962395,0.176521042,6.905512597,6.905640903,43.09579804,89.94452374,120.0255868,1779.313929,1.962,20,732,1751.468154,1.634552086,-79.72646123,1.3239,2.1287
107,-0.213,0.655,-46.672,0,10,3,3,42.086,123.5603745,0.249140265,6.828588244,6.849876266,27.55612208,89.17727584,116.1770551,1156.610792,2.39,20,584,1344.596648,1.930429215,-90.63717359,1.1582,2.1398
108,-0.416,1.887,-41.216,0,10,3,3,34.282,90.76240567,0.244260304,6.289324294,6.291829107,27.79329196,90.00095103,119.999384,952.4764001,2.324,20,444,958.319048,1.670725088,699.8987256,1.7014,3.7273
109,-0.416,1.887,-41.216,0,10,3,3,34.282,38.15113261,0.244560049,6.289249268,6.291265226,27.79524291,89.99987323,119.9962714,952.4764001,2.324,20,444,958.319048,1.670725088,699.9246984,1.6594,3.6759
110,-0.184,0.125,-48.919,1,10,3,2,41.167,105.1491513,0.162115322,6.671216222,6.655530674,46.00093794,89.57131905,120.0940764,1767.09697,1.994,20,848,2029.7444,1.907348566,-99.52828196,0,0
112,-0.455,0,-38.349,0,5,3,3,9.354,116.5959806,0.29990411,3.289049119,3.28829606,31.25146082,90.00627911,120.0075867,292.6907598,2.292,10,314,721.222,4.091749626,-78.44949698,0,0
114,-0.241,1.406,-46.636,0,10,3,3,35.173,0.175327646,0.259981762,6.408965201,6.363725819,27.72231344,89.79353877,120.2188194,977.0005349,2.388,20,380,799.235048,1.358403576,-93.4834491,1.4034,1.4034
115,-0.318,0.839,-43.908,0,10,3,3,37.359,176.4745004,0.267934947,6.56278257,6.563486063,27.97008599,90.01505788,119.9996051,1043.394947,2.342,20,448,967.947048,1.54046547,-87.33561328,1.0666,1.0666
116,-0.773,2.796,-46.164,0,10,3,3,32.429,0.05455268,0.166125464,6.114558245,6.116142529,42.55987942,89.9508016,119.9978198,1378.424822,2.248,20,300,605.895048,0.729900087,-148.1012306,2.7866,2.7866
117,-0.616,2.049,-41.017,0,10,3,3,36.084,14.01740704,0.170187816,6.454079893,6.455016372,42.9088429,90.03402963,120.0110873,1547.962536,2.23,20,516,1168.635048,1.253624753,-137.7738,2.0058,2.0058
118,-0.372,0.108,-58.356,1,10,3,1,32.122,154.2355129,0.152845945,5.796751311,5.797828072,43.86450351,90.029792,112.1519696,1365.405674,2.296,20,352,728.427228,0.885877284,-117.967253,0.2434,0.2434
119,-0.656,3.508,-19.701,0,5,3,3,13.856,68.35238747,0.207090361,3.995270795,3.995049596,30.16477744,90.01337838,119.7559679,417.9860991,2.174,10,92,180.90176,0.718670885,-67.1913073,3.4897,3.4897
120,-1.768,3.352,-27.354,0,5,3,3,8.786,135,0.166035313,3.18871455,3.18871455,28.93286101,90.0071987,119.9884497,254.8025851,2.518,10,60,116.63936,0.760134415,-81.46465064,3.3562,3.3562
121,-1.349,0,-37.704,1,5,3,3,8.03,26.56505118,0.236143491,3.032965779,3.032965779,30.54469818,90,120,243.3332689,2.82,10,150,323.7591928,2.209376426,-76.1338249,0,0
122,-0.241,0.1,-53.467,1,10,3,2,35.397,153.4349488,0.157772977,6.247425742,6.247425742,44.80551306,90,120,1514.482613,2.278,20,568,1291.167228,1.415687182,-107.1567979,0,0
123,-0.227,0.028,-51.958,1,10,3,2,29.574,56.20618472,0.245390705,5.829288957,5.830584349,27.59841658,90.09625186,119.9978749,812.3648928,2.368,20,364,743.448648,1.519668729,-99.64378211,0.0458,0
124,-1.005,0,-43.058,1,5,3,3,7.177,26.56505118,0.234505146,2.841045604,2.841045604,30.34402264,90,120,212.1095367,2.604,10,146,311.76318,2.440696198,-85.86988783,0,0
