Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
1400,3.988558803,3.988558803,120,396.9667649,2.53,6,204,467.458,1.955408713,15.90860132,1.217,1.838,13.777,3.089,0,1.3666,
1409,4.07594273,4.07594273,120,416.0534307,2.52,6,240,561.248,2.24003496,16.61330914,1.069,1.649,14.388,3.108,0,0.9318,
1418,4.235230973,4.235230973,120,450.6341791,2.37,6,276,658.528,2.426605707,17.93718139,1.052,1.615,15.534,3.14,0,1.1355,
1429,3.577699017,3.577699017,120,309.2958093,2.373333333,6,284,681.69494,3.659865558,12.79993026,0.814,1.295,11.085,4.289,0,0.981,
1438,3.551967322,3.551967322,120,301.7695426,2.453333333,6,184,420.44894,2.313592964,12.61647186,0.745,1.187,10.926,3.921,0,0.2722,
1443,3.901256022,3.901256022,120,374.3850812,2.483333333,6,186,426.59794,1.892122792,15.21979855,1.1,3.537,13.171,2.992,1,0,
1452,3.636030951,3.636030951,120,319.060298,2.383333333,6,220,507.16294,2.639513222,13.22072108,0.877,1.317,11.449,4.162,0,0.8187,
1457,4.032085367,4.032085367,120,404.7587003,2.586666667,6,204,472.346,1.937818718,16.25771241,1.172,1.804,14.08,3.059,0,0.7549,
1464,4.194510937,4.194510937,120,439.1287756,2.436666667,6,240,569.626,2.154006476,17.593922,1.255,1.866,15.237,3.089,0,0.6786,
1468,3.12900475,3.12900475,120,231.3148293,2.263333333,6,148,326.0422,2.340558157,9.790670726,0.782,1.241,8.479,4.296,0,0.211,
1471,3.271502168,3.271502168,120,254.044284,2.113333333,6,184,423.3222,2.767009908,10.70272644,0.261,0.82,9.269,4.436,0,0.2627,
1480,3.711404261,3.711404261,120,340.2308667,2.143333333,6,244,579.03,2.826027941,13.77452159,0.684,1.512,11.929,3.526,0,0.8849,
1498,3.806618674,3.806618674,120,360.1302454,1.993333333,6,280,676.31,3.118425043,14.49034573,0,0.207,12.549,3.665,0,0,
1508,3.87179161,3.87179161,120,374.3688524,1.983333333,6,316,770.1,3.415832079,14.99077027,0,0.186,12.982,3.725,0,0,
1519,4.083315508,4.083315508,120,418.0403595,2.43,6,240,561.45894,2.230226061,16.67346554,1.219,1.782,14.44,3.308,0,1.3619,
1531,4.167840471,4.167840471,120,437.4200425,2.42,6,276,655.24894,2.487463667,17.37089419,1.012,1.529,15.044,3.322,0,1.3335,
1548,4.318180238,4.318180238,120,471.6215048,2.27,6,312,752.52894,2.649590171,18.64668057,0.838,1.322,16.148,3.349,0,1.1833,
1551,2.998444,2.999167714,119.992018,210.3749469,2.726666667,6,132,288.0088,2.273321377,8.992836437,1.06,1.831,7.789,4.272,0,0.0892,
1555,3.06633664,3.066683614,119.9962573,220.8150254,2.716666667,6,168,381.7988,2.871144397,9.403484329,0.752,1.512,8.144,4.358,0,0,
1559,3.250850215,3.250850215,120,251.3643658,2.43,6,184,413.93,2.734464504,10.56802712,1.453,1.949,9.152,4.568,0,0.9581,
1565,3.363003988,3.363003988,120,270.3882952,2.28,6,220,511.21,3.139500457,11.30979582,0.992,1.585,9.795,4.729,0,0.1397,
1578,3.433866879,3.433866879,120,293.0426271,2.243333333,6,182,407.86276,2.311172451,11.79144174,0,0,10.212,3.922,0,0,
1585,3.578939952,3.578939952,120,321.7160167,2.083333333,6,254,598.93276,3.091394878,12.80881118,0,0,11.093,4.171,0,0,
1589,3.004447685,3.004803288,119.9960853,211.376499,2.793333333,6,196,463.8088,3.643605772,9.027774283,1.503,2.257,7.819,4.393,0,0.2822,
1591,3.068312982,3.068525051,119.9977139,221.3089494,2.783333333,6,232,557.5988,4.183809979,9.41519525,1.244,2.004,8.154,4.479,0,0.0688,
1599,3.442521373,3.442521373,120,294.3680099,2.21,6,246,583.94576,3.294056129,11.8509534,0,0,10.263,3.953,0,0,
