Number,lattice_a,lattice_b,lattice_gamma,lattice_volume,composition_average_electrons,composition_num_atoms,composition_total_electrons,composition_weight,density,lattice area,monolayer PBE,monolayer hse,monolayer area,monolayer vaccun level,monolayer magnetic,pbe,gw
103,3.183347237,5.723978348,90,503.3000919,2.44,12,296,640.28,2.11247717,18.22141066,0.051,0.069,18.221,4.369,0,0.4464,1.9364
104,5.226115868,5.33859003,90,653.9357727,2.356666667,12,240,491.2936,1.247541808,27.90009007,0.824,2.231,27.9,2.546,0,0.664,2.3286
105,5.932883402,6.240980343,90,892.0167519,2.036666667,12,528,1255.5736,2.33732047,37.02700869,0.921,1.703,37.027,2.731,0,0.1578,1.6233
107,6.726358623,7.103533835,118.2585803,1156.610792,2.39,20,584,1344.596648,1.930429215,47.78091606,0.655,1.316,42.086,3.32,0,1.1582,2.1398
111,2.911692824,5.332823072,105.8427031,600.4726676,2.148,10,102,218.8536,0.605214812,15.52754267,0.323,2.847,14.938,0.671,1,0,0
114,6.371883452,6.373459511,119.9918202,977.0005349,2.388,20,380,799.235048,1.358403576,40.61094119,1.406,2.096,35.173,3.481,0,1.4034,1.4034
116,6.119348911,6.119218713,120.0007038,1378.424822,2.248,20,300,605.895048,0.729900087,37.44563437,2.796,3.922,32.429,1.95,0,2.7866,2.7866
117,6.45496219,6.45496219,120,1547.962536,2.23,20,516,1168.635048,1.253624753,41.66653687,2.049,2.964,36.084,1.976,0,2.0058,2.0058
120,3.185113797,3.185113797,119.9967092,254.8025851,2.518,10,60,116.63936,0.760134415,10.1449499,3.352,5.028,8.786,1.4,0,3.3562,3.3562
131,4.190725267,4.191275537,119.9956571,535.5117852,2.26,10,500,1219.3816,3.781113394,17.56448429,0.021,0.528,15.212,4.828,0,1.2232,1.9491
133,3.235810514,3.235931835,119.9987598,261.4565191,2.586,10,96,198.84736,1.262901421,10.47086225,2.333,4.267,9.068,1.449,0,2.4173,5.1643
134,3.984066634,7.767105515,90.00012738,1411.122404,2.992,20,512,1150.9872,1.354424822,30.94466593,1.424,2.682,30.945,1.753,0,1.4175,4.1943
135,3.702197031,5.041543649,90,946.4053264,2.7625,16,240,508.0364,0.891387935,18.66478793,2.508,4.689,18.665,1.553,0,2.4812,5.64
